ID;candidate_ID;noteText;noteType;isPrivate;isPinned;createdAt;createdBy;modifiedAt;modifiedBy
c1b2c3d4-e5f6-7890-abcd-ef1234567901;a1b2c3d4-e5f6-7890-abcd-ef1234567801;Initial screening complete. Candidate has strong technical background with 8+ years experience. Excellent communication skills. Salary expectations within budget. Recommend proceeding to technical interview.;screening;false;true;2024-11-07T09:30:00Z;sarah.recruiter@company.com;2024-11-07T09:30:00Z;sarah.recruiter@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567902;a1b2c3d4-e5f6-7890-abcd-ef1234567801;Technical interview feedback received. Candidate performed exceptionally well on coding challenges. Strong system design skills. Mark recommends moving to final round.;interview;false;false;2024-11-15T13:00:00Z;mark.thompson@company.com;2024-11-15T13:00:00Z;mark.thompson@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567903;a1b2c3d4-e5f6-7890-abcd-ef1234567802;Candidate has excellent SAP BTP knowledge. Currently working at competitor company. Motivated by our company culture and growth opportunities.;screening;false;false;2024-11-18T10:15:00Z;lisa.hr@company.com;2024-11-18T10:15:00Z;lisa.hr@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567904;a1b2c3d4-e5f6-7890-abcd-ef1234567802;Reference check completed. Previous manager gave excellent feedback. Described as reliable team player with strong technical skills.;reference;false;true;2024-11-22T14:30:00Z;lisa.hr@company.com;2024-11-22T14:30:00Z;lisa.hr@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567905;a1b2c3d4-e5f6-7890-abcd-ef1234567803;Top candidate for Cloud Architect role. AWS certified with extensive Azure experience. Has led multiple enterprise migrations. Priority hire.;screening;false;true;2024-11-12T11:00:00Z;tom.talent@company.com;2024-11-12T11:00:00Z;tom.talent@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567906;a1b2c3d4-e5f6-7890-abcd-ef1234567803;Panel interview completed. All interviewers gave highest ratings. CTO wants to make immediate offer before candidate is snapped up by competition.;interview;false;true;2024-11-18T16:00:00Z;jane.cto@company.com;2024-11-18T16:00:00Z;jane.cto@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567907;a1b2c3d4-e5f6-7890-abcd-ef1234567803;Salary negotiation notes: Candidate expects $200K base + bonus. We offered $195K + 15% bonus + equity. Candidate requested time to consider.;offer;true;false;2024-11-20T10:00:00Z;tom.talent@company.com;2024-11-20T10:00:00Z;tom.talent@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567908;a1b2c3d4-e5f6-7890-abcd-ef1234567804;Junior frontend developer with good React skills. Portfolio shows creative work. Needs mentorship but has high potential.;screening;false;false;2024-11-25T09:45:00Z;sarah.recruiter@company.com;2024-11-25T09:45:00Z;sarah.recruiter@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567909;a1b2c3d4-e5f6-7890-abcd-ef1234567804;Note: Candidate missed initial phone screen. Rescheduled for next week. Follow up sent via email.;general;false;false;2024-12-02T08:00:00Z;sarah.recruiter@company.com;2024-12-02T08:00:00Z;sarah.recruiter@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567910;a1b2c3d4-e5f6-7890-abcd-ef1234567805;Excellent DevOps candidate. Strong Kubernetes expertise verified. Linux background is solid. Good cultural fit based on initial conversation.;screening;false;false;2024-11-19T13:30:00Z;amy.hr@company.com;2024-11-19T13:30:00Z;amy.hr@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567911;a1b2c3d4-e5f6-7890-abcd-ef1234567805;Offer extended: $145K base + benefits. Candidate accepted! Start date confirmed for January 15th.;offer;false;true;2024-11-28T15:00:00Z;dave.lead@company.com;2024-11-28T15:00:00Z;dave.lead@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567912;a1b2c3d4-e5f6-7890-abcd-ef1234567806;Candidate hired as Project Manager. Excellent performance throughout interview process. PMP certified with SAP implementation experience.;general;false;true;2024-10-30T10:00:00Z;chris.vp@company.com;2024-10-30T10:00:00Z;chris.vp@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567913;a1b2c3d4-e5f6-7890-abcd-ef1234567806;Onboarding completed successfully. Lisa has been assigned to the SAP SuccessFactors implementation project starting next month.;general;false;false;2024-11-15T09:00:00Z;sarah.recruiter@company.com;2024-11-15T09:00:00Z;sarah.recruiter@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567914;a1b2c3d4-e5f6-7890-abcd-ef1234567807;Backend skills are adequate but not exceptional. Other candidates showed stronger Java expertise. Moving to rejection.;interview;true;false;2024-11-12T14:00:00Z;mark.thompson@company.com;2024-11-12T14:00:00Z;mark.thompson@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567915;a1b2c3d4-e5f6-7890-abcd-ef1234567807;Rejection email sent. Candidate was professional in response. May consider for future junior roles as skills develop.;general;false;false;2024-11-14T11:30:00Z;sarah.recruiter@company.com;2024-11-14T11:30:00Z;sarah.recruiter@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567916;a1b2c3d4-e5f6-7890-abcd-ef1234567808;UX Designer with strong Fiori experience. Portfolio demonstrates excellent attention to detail. Fluent in Spanish - could support LATAM clients.;screening;false;false;2024-11-26T10:30:00Z;sarah.recruiter@company.com;2024-11-26T10:30:00Z;sarah.recruiter@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567917;a1b2c3d4-e5f6-7890-abcd-ef1234567808;Missed video interview on Dec 5th. Sent follow-up email to reschedule. Waiting for response.;general;false;false;2024-12-05T16:00:00Z;design.lead@company.com;2024-12-05T16:00:00Z;design.lead@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567918;a1b2c3d4-e5f6-7890-abcd-ef1234567809;DevOps candidate with solid Linux and automation background. Currently at fintech startup. Looking for more enterprise experience.;screening;false;false;2024-11-27T14:15:00Z;amy.hr@company.com;2024-11-27T14:15:00Z;amy.hr@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567919;a1b2c3d4-e5f6-7890-abcd-ef1234567810;Business Analyst with SAP SuccessFactors specialization. Strong functional knowledge. Previous implementation experience at large enterprises.;screening;false;false;2024-11-28T11:00:00Z;sarah.recruiter@company.com;2024-11-28T11:00:00Z;sarah.recruiter@company.com
c1b2c3d4-e5f6-7890-abcd-ef1234567920;a1b2c3d4-e5f6-7890-abcd-ef1234567810;Video interview scheduled with PM lead for next week. Candidate expressed strong interest in the project manager position.;general;false;false;2024-12-01T09:00:00Z;sarah.recruiter@company.com;2024-12-01T09:00:00Z;sarah.recruiter@company.com
